city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,59,10,35,0.6,15,86,109,6
阿克苏地区,150,64,249,0.4,16,98,102,5
阿拉善盟,83,54,113,0.6,7,92,112,8
阿勒泰地区,61,0,14,0.7,6,114,111,2
阿里地区,87,24,122,0.45,5,104,100,4
安康,91,52,85,0.97,26,93,147,7
安庆,72,25,49,0.35,18,103,125,5
鞍山,55,34,58,1.33,40,30,89,8
安顺,66,45,63,0.6,10,108,118,5
安阳,94,70,118,1.54,31,119,145,6
白城,51,14,38,0.35,12,89,100,8
百色,60,28,48,0.8,17,89,110,12
白山,30,7,27,0.9,10,41,59,9
白银,98,53,143,0.45,8,94,99,4
保定,104,75,114,1.13,27,173,163,7
宝鸡,116,43,130,0.73,44,109,176,5
保山,61,21,63,0.5,7,115,111,6
包头,111,33,170,0.34,14,89,94,5
巴彦淖尔,47,24,43,0.5,20,75,92,5
巴中,91,59,113,1.1,57,74,147,8
北海,46,9,45,0.6,12,80,79,7
北京,117,86,103,1.72,33,149,177,2
蚌埠,47,17,23,0.47,27,109,92,9
本溪,47,25,46,1.38,35,22,44,14
毕节,103,37,66,0.8,10,153,162,7
滨州,51,25,32,1.37,26,83,100,12
博州,62,10,22,0.2,5,119,113,9
亳州,57,16,26,0.5,14,85,107,6
沧州,76,40,56,0.53,20,106,129,9
长春,60,28,68,0.92,64,13,38,4
常德,53,31,52,1.08,19,77,102,17
昌都,74,28,69,0.6,9,117,127,5
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,57,15,29,0.67,15,109,107,10
长沙,56,24,50,0.59,21,83,105,11
常熟,91,31,66,0.5,38,134,147,21
长治,149,61,84,1.08,13,160,212,7
常州,52,32,51,0.86,47,65,91,13
朝阳,83,28,109,0.83,12,125,138,15
潮州,55,25,43,1.07,22,40,104,13
承德,99,36,136,0.74,15,134,157,14
成都,181,57,92,0.93,50,162,245,9
郴州,46,9,42,1.2,14,94,90,26
赤峰,98,31,143,0.7,35,82,98,7
池州,55,29,48,0.33,12,108,104,12
重庆,148,33,75,0.84,41,166,211,11
崇左,69,35,57,0.65,11,117,121,5
楚雄州,68,22,54,0.5,10,114,120,14
滁州,66,23,80,0.63,73,58,116,7
大连,39,15,22,0.6,15,73,76,6
大理州,63,20,74,0.35,12,106,110,4
丹东,36,25,30,0.7,29,25,37,8
大庆,46,14,27,0.33,12,75,90,7
大同,99,45,92,0.67,12,104,157,14
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,48,4,14,0.35,17,84,94,9
达州,87,33,60,1.02,77,79,143,9
德宏州,77,35,101,0.55,21,110,125,9
德阳,137,60,109,0.75,24,165,199,9
德州,71,31,57,0.83,20,113,124,4
定西,119,68,185,0.15,11,105,109,4
迪庆州,55,7,47,0.0,5,103,104,10
东莞,40,14,34,0.5,22,46,78,4
东营,72,11,33,0.8,22,79,125,13
鄂尔多斯,150,48,247,0.52,18,82,107,11
恩施州,53,33,54,1.0,41,47,68,4
鄂州,56,33,56,0.9,21,90,105,5
防城港,43,20,42,0.6,16,34,44,10
佛山,47,20,40,0.65,27,42,92,8
抚顺,49,27,48,0.68,21,49,86,12
阜新,93,25,134,0.46,19,103,116,19
阜阳,56,21,28,0.57,35,68,106,8
富阳,57,34,61,1.0,36,78,103,10
福州,89,14,59,0.58,21,66,145,8
抚州,49,19,36,0.5,13,82,97,13
甘南州,126,85,199,0.6,21,111,119,13
赣州,75,31,64,1.42,25,113,128,12
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,86,46,69,0.45,10,145,141,1
广安,117,48,92,0.86,46,124,177,22
广元,116,31,83,0.9,46,102,176,21
广州,52,19,38,0.66,49,34,101,9
贵港,53,26,54,0.57,23,50,77,6
桂林,47,30,46,0.75,22,63,84,5
贵阳,61,32,69,0.49,19,95,108,5
果洛州,55,0,0,0.6,26,85,104,27
固原,296,108,416,0.6,19,104,125,11
哈尔滨,39,11,32,0.49,22,72,76,4
海北州,65,16,30,0.4,11,98,116,16
海东地区,111,64,169,0.8,11,110,101,8
海口,32,20,31,0.56,19,18,59,4
海门,80,31,57,0.67,39,101,134,14
海南州,47,19,32,0.0,8,69,93,8
海西州,48,14,38,0.6,8,99,95,20
哈密地区,90,3,51,0.8,28,147,146,4
邯郸,71,47,81,0.6,19,108,123,8
杭州,75,25,47,0.76,46,84,128,8
汉中,118,36,77,0.73,21,129,178,7
鹤壁,101,58,123,1.47,38,122,160,16
河池,56,26,51,0.87,19,92,105,7
合肥,92,40,88,0.61,21,134,149,5
鹤岗,34,12,26,0.48,13,53,67,6
黑河,48,13,28,0.5,13,81,94,4
衡水,105,78,99,0.8,23,117,121,10
衡阳,51,25,50,0.62,19,59,79,12
和田地区,500,604,2542,0.3,14,72,78,15
河源,73,25,58,0.73,17,93,126,5
菏泽,86,36,59,1.47,25,128,142,5
贺州,46,24,45,0.7,15,71,74,8
红河州,59,21,45,0.4,7,98,109,5
淮安,56,30,41,0.76,36,90,105,8
淮北,56,15,9,0.67,20,96,106,11
怀化,66,26,60,1.04,9,105,117,3
淮南,67,20,37,0.4,14,127,119,13
黄冈,64,25,56,1.05,17,99,115,13
黄南州,76,29,100,1.0,9,101,102,11
黄山,39,6,29,0.5,15,74,76,10
黄石,50,29,49,0.76,22,83,87,7
呼和浩特,112,22,171,0.56,15,92,103,8
惠州,40,22,39,0.54,28,47,79,6
葫芦岛,72,34,91,1.27,63,50,79,180
呼伦贝尔,58,13,26,0.35,25,88,108,3
湖州,69,49,71,0.89,48,86,94,16
佳木斯,32,8,17,0.54,24,44,62,6
吉安,77,25,47,0.48,9,116,131,10
江门,32,13,26,0.55,11,37,62,5
江阴,77,37,64,0.77,51,86,131,12
